Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2017,4,United States and Canada,All reasons for journey,6.8,315.0,17.0,2270900,386053.0,Autumn
2018,1,United States and Canada,All reasons for journey,6.2,194.0,15.0,1920700,288105.0,Winter
2018,2,United States and Canada,All reasons for journey,6.4,493.0,21.0,2951900,619899.0,Spring
2018,3,United States and Canada,All reasons for journey,7.1,681.0,24.0,3330900,799416.0,Summer
2018,4,United States and Canada,All reasons for journey,6.6,367.0,20.0,2412800,482560.0,Autumn
2019,1,United States and Canada,All reasons for journey,5.9,200.0,16.0,2026700,324272.0,Winter
2019,2,United States and Canada,All reasons for journey,6.4,546.0,22.0,3021800,664796.0,Spring
2019,3,United States and Canada,All reasons for journey,6.4,644.0,23.0,3334400,766912.0,Summer
2019,4,United States and Canada,All reasons for journey,6.9,301.0,17.0,2424600,412182.00000000006,Autumn
2012,1,United States and Canada,Business,6.9,16.0,7.0,1165100,81557.00000000001,Winter
2012,2,United States and Canada,Business,5.8,25.0,10.0,1817300,181730.0,Spring
2012,3,United States and Canada,Business,6.5,21.0,10.0,2096700,209670.0,Summer
2012,4,United States and Canada,Business,10.6,29.0,12.0,1438000,172560.0,Autumn
2013,1,United States and Canada,Business,4.9,16.0,9.0,1251700,112653.0,Winter
2013,2,United States and Canada,Business,8.6,20.0,8.0,1893000,151440.0,Spring
2013,3,United States and Canada,Business,7.8,20.0,9.0,2261000,203490.0,Summer
2013,4,United States and Canada,Business,6.4,24.0,9.0,1580100,142209.0,Autumn
2014,1,United States and Canada,Business,6.3,18.0,9.0,1342500,120825.0,Winter
2014,2,United States and Canada,Business,6.5,29.0,9.0,2126600,191394.0,Spring
2014,3,United States and Canada,Business,7.0,24.0,11.0,2440400,268444.0,Summer
2014,4,United States and Canada,Business,6.1,21.0,7.0,1694900,118643.00000000001,Autumn
2015,1,United States and Canada,Business,6.2,26.0,8.0,1531300,122504.0,Winter
2015,2,United States and Canada,Business,7.0,32.0,11.0,2344900,257939.0,Spring
2015,3,United States and Canada,Business,7.1,24.0,8.0,2770900,221672.0,Summer
2015,4,United States and Canada,Business,6.4,31.0,9.0,1995900,179631.0,Autumn
2016,1,United States and Canada,Business,5.5,29.0,10.0,1784700,178470.0,Winter
2016,2,United States and Canada,Business,4.9,32.0,10.0,2598900,259890.0,Spring
2016,3,United States and Canada,Business,7.1,33.0,11.0,3061500,336765.0,Summer
2016,4,United States and Canada,Business,5.3,36.0,11.0,2139200,235312.0,Autumn
2017,1,United States and Canada,Business,5.9,31.0,11.0,1796100,197571.0,Winter
2017,2,United States and Canada,Business,6.7,37.0,9.0,2769400,249246.0,Spring
2017,3,United States and Canada,Business,7.8,42.0,11.0,3095600,340516.0,Summer
2017,4,United States and Canada,Business,7.4,41.0,11.0,2270900,249799.0,Autumn
2018,1,United States and Canada,Business,4.7,32.0,10.0,1920700,192070.0,Winter
2018,2,United States and Canada,Business,6.3,37.0,11.0,2951900,324709.0,Spring
2018,3,United States and Canada,Business,7.7,47.0,13.0,3330900,433017.0,Summer
2018,4,United States and Canada,Business,5.9,32.0,11.0,2412800,265408.0,Autumn
2019,1,United States and Canada,Business,5.2,24.0,8.0,2026700,162136.0,Winter
2019,2,United States and Canada,Business,5.9,25.0,9.0,3021800,271962.0,Spring
2019,3,United States and Canada,Business,6.4,32.0,9.0,3334400,300096.0,Summer
2019,4,United States and Canada,Business,8.3,31.0,9.0,2424600,218214.0,Autumn
2012,1,United States and Canada,Holiday/leisure/recreation,6.8,53.0,19.0,1165100,221369.0,Winter
2012,2,United States and Canada,Holiday/leisure/recreation,7.9,145.0,21.0,1817300,381633.0,Spring
2012,3,United States and Canada,Holiday/leisure/recreation,7.9,229.0,25.0,2096700,524175.0,Summer
2012,4,United States and Canada,Holiday/leisure/recreation,7.5,92.0,22.0,1438000,316360.0,Autumn
2013,1,United States and Canada,Holiday/leisure/recreation,6.4,61.0,19.0,1251700,237823.0,Winter
2013,2,United States and Canada,Holiday/leisure/recreation,7.5,174.0,24.0,1893000,454320.0,Spring
2013,3,United States and Canada,Holiday/leisure/recreation,8.0,255.0,25.0,2261000,565250.0,Summer
2013,4,United States and Canada,Holiday/leisure/recreation,7.7,92.0,21.0,1580100,331821.0,Autumn
2014,1,United States and Canada,Holiday/leisure/recreation,6.7,53.0,18.0,1342500,241650.0,Winter
2014,2,United States and Canada,Holiday/leisure/recreation,7.0,186.0,25.0,2126600,531650.0,Spring
2014,3,United States and Canada,Holiday/leisure/recreation,8.1,315.0,26.0,2440400,634504.0,Summer
2014,4,United States and Canada,Holiday/leisure/recreation,6.8,111.0,23.0,1694900,389827.0,Autumn
2015,1,United States and Canada,Holiday/leisure/recreation,6.8,69.0,18.0,1531300,275634.0,Winter
2015,2,United States and Canada,Holiday/leisure/recreation,7.1,269.0,25.0,2344900,586225.0,Spring
2015,3,United States and Canada,Holiday/leisure/recreation,8.2,384.0,25.0,2770900,692725.0,Summer
2015,4,United States and Canada,Holiday/leisure/recreation,7.5,148.0,21.0,1995900,419139.0,Autumn
2016,1,United States and Canada,Holiday/leisure/recreation,6.5,77.0,16.0,1784700,285552.0,Winter
2016,2,United States and Canada,Holiday/leisure/recreation,6.9,292.0,25.0,2598900,649725.0,Spring
2016,3,United States and Canada,Holiday/leisure/recreation,7.9,388.0,25.0,3061500,765375.0,Summer
2016,4,United States and Canada,Holiday/leisure/recreation,7.3,206.0,26.0,2139200,556192.0,Autumn
2017,1,United States and Canada,Holiday/leisure/recreation,6.6,84.0,19.0,1796100,341259.0,Winter
2017,2,United States and Canada,Holiday/leisure/recreation,7.1,362.0,28.0,2769400,775432.0000000001,Spring
2017,3,United States and Canada,Holiday/leisure/recreation,7.9,460.0,29.0,3095600,897723.9999999999,Summer
2017,4,United States and Canada,Holiday/leisure/recreation,7.0,217.0,25.0,2270900,567725.0,Autumn
2018,1,United States and Canada,Holiday/leisure/recreation,6.6,114.0,21.0,1920700,403347.0,Winter
2018,2,United States and Canada,Holiday/leisure/recreation,6.7,381.0,28.0,2951900,826532.0000000001,Spring
