Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2012,4,Germany,All reasons for journey,9.3,47.0,7.0,1438000,100660.00000000001,Autumn
2013,1,Germany,All reasons for journey,9.4,37.0,6.0,1251700,75102.0,Winter
2013,2,Germany,All reasons for journey,9.2,94.0,8.0,1893000,151440.0,Spring
2013,3,Germany,All reasons for journey,10.3,101.0,8.0,2261000,180880.0,Summer
2013,4,Germany,All reasons for journey,9.0,54.0,7.0,1580100,110607.00000000001,Autumn
2014,1,Germany,All reasons for journey,9.6,36.0,7.0,1342500,93975.00000000001,Winter
2014,2,Germany,All reasons for journey,9.7,122.0,9.0,2126600,191394.0,Spring
2014,3,Germany,All reasons for journey,10.1,124.0,8.0,2440400,195232.0,Summer
2014,4,Germany,All reasons for journey,8.4,51.0,7.0,1694900,118643.00000000001,Autumn
2015,1,Germany,All reasons for journey,10.1,41.0,6.0,1531300,91878.0,Winter
2015,2,Germany,All reasons for journey,10.4,146.0,9.0,2344900,211041.0,Spring
2015,3,Germany,All reasons for journey,9.1,144.0,8.0,2770900,221672.0,Summer
2015,4,Germany,All reasons for journey,8.5,66.0,7.0,1995900,139713.0,Autumn
2016,1,Germany,All reasons for journey,7.9,44.0,6.0,1784700,107082.0,Winter
2016,2,Germany,All reasons for journey,8.3,122.0,8.0,2598900,207912.0,Spring
2016,3,Germany,All reasons for journey,9.5,159.0,8.0,3061500,244920.0,Summer
2016,4,Germany,All reasons for journey,7.9,63.0,7.0,2139200,149744.0,Autumn
2017,1,Germany,All reasons for journey,8.4,40.0,6.0,1796100,107766.0,Winter
2017,2,Germany,All reasons for journey,7.5,135.0,8.0,2769400,221552.0,Spring
2017,3,Germany,All reasons for journey,8.8,146.0,8.0,3095600,247648.0,Summer
2017,4,Germany,All reasons for journey,8.7,78.0,7.0,2270900,158963.00000000003,Autumn
2018,1,Germany,All reasons for journey,7.5,55.0,7.0,1920700,134449.0,Winter
2018,2,Germany,All reasons for journey,7.5,153.0,9.0,2951900,265671.0,Spring
2018,3,Germany,All reasons for journey,8.3,175.0,8.0,3330900,266472.0,Summer
2018,4,Germany,All reasons for journey,7.1,85.0,8.0,2412800,193024.0,Autumn
2019,1,Germany,All reasons for journey,6.7,53.0,7.0,2026700,141869.0,Winter
2019,2,Germany,All reasons for journey,7.7,150.0,9.0,3021800,271962.0,Spring
2019,3,Germany,All reasons for journey,7.7,163.0,8.0,3334400,266752.0,Summer
2019,4,Germany,All reasons for journey,7.1,80.0,7.0,2424600,169722.00000000003,Autumn
2012,1,Germany,Business,5.8,6.0,7.0,1165100,81557.00000000001,Winter
2012,2,Germany,Business,4.9,5.0,5.0,1817300,90865.0,Spring
2012,3,Germany,Business,4.6,4.0,5.0,2096700,104835.0,Summer
2012,4,Germany,Business,6.4,7.0,8.0,1438000,115040.0,Autumn
2013,1,Germany,Business,7.7,6.0,6.0,1251700,75102.0,Winter
2013,2,Germany,Business,5.7,9.0,5.0,1893000,94650.0,Spring
2013,3,Germany,Business,6.9,6.0,6.0,2261000,135660.0,Summer
2013,4,Germany,Business,8.8,14.0,8.0,1580100,126408.0,Autumn
2014,1,Germany,Business,7.9,7.0,6.0,1342500,80550.0,Winter
2014,2,Germany,Business,12.1,14.0,5.0,2126600,106330.0,Spring
2014,3,Germany,Business,7.6,6.0,5.0,2440400,122020.0,Summer
2014,4,Germany,Business,6.8,10.0,6.0,1694900,101694.0,Autumn
2015,1,Germany,Business,6.0,9.0,6.0,1531300,91878.0,Winter
2015,2,Germany,Business,10.1,14.0,7.0,2344900,164143.00000000003,Spring
2015,3,Germany,Business,7.0,7.0,5.0,2770900,138545.0,Summer
2015,4,Germany,Business,4.9,9.0,5.0,1995900,99795.0,Autumn
2016,1,Germany,Business,6.2,8.0,7.0,1784700,124929.00000000001,Winter
2016,2,Germany,Business,5.9,15.0,6.0,2598900,155934.0,Spring
2016,3,Germany,Business,5.0,9.0,6.0,3061500,183690.0,Summer
2016,4,Germany,Business,9.0,10.0,7.0,2139200,149744.0,Autumn
2017,1,Germany,Business,5.6,8.0,6.0,1796100,107766.0,Winter
2017,2,Germany,Business,3.0,12.0,6.0,2769400,166164.0,Spring
2017,3,Germany,Business,4.9,10.0,6.0,3095600,185736.0,Summer
2017,4,Germany,Business,6.6,13.0,7.0,2270900,158963.00000000003,Autumn
2018,1,Germany,Business,7.0,11.0,7.0,1920700,134449.0,Winter
2018,2,Germany,Business,7.4,9.0,5.0,2951900,147595.0,Spring
2018,3,Germany,Business,6.0,14.0,6.0,3330900,199854.0,Summer
2018,4,Germany,Business,6.4,21.0,9.0,2412800,217152.0,Autumn
2019,1,Germany,Business,5.0,12.0,8.0,2026700,162136.0,Winter
2019,2,Germany,Business,8.7,13.0,6.0,3021800,181308.0,Spring
2019,3,Germany,Business,7.5,18.0,6.0,3334400,200064.0,Summer
2019,4,Germany,Business,7.4,12.0,5.0,2424600,121230.0,Autumn
2012,1,Germany,Holiday/leisure/recreation,6.5,10.0,5.0,1165100,58255.0,Winter
2012,2,Germany,Holiday/leisure/recreation,7.6,54.0,11.0,1817300,199903.0,Spring
2012,3,Germany,Holiday/leisure/recreation,9.0,69.0,12.0,2096700,251604.0,Summer
2012,4,Germany,Holiday/leisure/recreation,6.1,25.0,9.0,1438000,129420.0,Autumn
2013,1,Germany,Holiday/leisure/recreation,6.4,21.0,8.0,1251700,100136.0,Winter
2013,2,Germany,Holiday/leisure/recreation,8.3,69.0,11.0,1893000,208230.0,Spring
2013,3,Germany,Holiday/leisure/recreation,10.0,82.0,11.0,2261000,248710.0,Summer
2013,4,Germany,Holiday/leisure/recreation,6.1,24.0,9.0,1580100,142209.0,Autumn
2014,1,Germany,Holiday/leisure/recreation,5.0,15.0,8.0,1342500,107400.0,Winter
2014,2,Germany,Holiday/leisure/recreation,8.1,85.0,12.0,2126600,255192.0,Spring
2014,3,Germany,Holiday/leisure/recreation,9.6,106.0,12.0,2440400,292848.0,Summer
2014,4,Germany,Holiday/leisure/recreation,6.3,26.0,9.0,1694900,152541.0,Autumn
2015,1,Germany,Holiday/leisure/recreation,5.3,19.0,8.0,1531300,122504.0,Winter
2015,2,Germany,Holiday/leisure/recreation,9.2,118.0,12.0,2344900,281388.0,Spring
2015,3,Germany,Holiday/leisure/recreation,9.1,125.0,12.0,2770900,332508.0,Summer
2015,4,Germany,Holiday/leisure/recreation,5.7,32.0,10.0,1995900,199590.0,Autumn
2016,1,Germany,Holiday/leisure/recreation,5.3,21.0,7.0,1784700,124929.00000000001,Winter
2016,2,Germany,Holiday/leisure/recreation,8.1,94.0,11.0,2598900,285879.0,Spring
2016,3,Germany,Holiday/leisure/recreation,9.9,135.0,11.0,3061500,336765.0,Summer
2016,4,Germany,Holiday/leisure/recreation,6.2,35.0,9.0,2139200,192528.0,Autumn
2017,1,Germany,Holiday/leisure/recreation,6.5,20.0,7.0,1796100,125727.00000000001,Winter
2017,2,Germany,Holiday/leisure/recreation,7.9,105.0,11.0,2769400,304634.0,Spring
2017,3,Germany,Holiday/leisure/recreation,9.4,123.0,10.0,3095600,309560.0,Summer
2017,4,Germany,Holiday/leisure/recreation,6.1,41.0,8.0,2270900,181672.0,Autumn
2018,1,Germany,Holiday/leisure/recreation,5.7,29.0,9.0,1920700,172863.0,Winter
2018,2,Germany,Holiday/leisure/recreation,7.5,121.0,11.0,2951900,324709.0,Spring
2018,3,Germany,Holiday/leisure/recreation,9.1,148.0,11.0,3330900,366399.0,Summer
2018,4,Germany,Holiday/leisure/recreation,6.6,46.0,9.0,2412800,217152.0,Autumn
2019,1,Germany,Holiday/leisure/recreation,5.1,27.0,8.0,2026700,162136.0,Winter
2019,2,Germany,Holiday/leisure/recreation,7.1,116.0,11.0,3021800,332398.0,Spring
2019,3,Germany,Holiday/leisure/recreation,8.8,131.0,10.0,3334400,333440.0,Summer
2019,4,Germany,Holiday/leisure/recreation,5.6,46.0,9.0,2424600,218214.0,Autumn
2012,1,Germany,Other reason for journey,35.8,4.0,7.0,1165100,81557.00000000001,Winter
2012,2,Germany,Other reason for journey,18.0,9.0,9.0,1817300,163557.0,Spring
2012,3,Germany,Other reason for journey,21.8,5.0,3.0,2096700,62901.0,Summer
2012,4,Germany,Other reason for journey,24.7,12.0,13.0,1438000,186940.0,Autumn
2013,1,Germany,Other reason for journey,48.1,3.0,4.0,1251700,50068.0,Winter
2013,2,Germany,Other reason for journey,20.5,11.0,8.0,1893000,151440.0,Spring
2013,3,Germany,Other reason for journey,21.8,7.0,6.0,2261000,135660.0,Summer
2013,4,Germany,Other reason for journey,29.2,7.0,13.0,1580100,205413.0,Autumn
2014,1,Germany,Other reason for journey,39.0,6.0,13.0,1342500,174525.0,Winter
2014,2,Germany,Other reason for journey,19.9,15.0,13.0,2126600,276458.0,Spring
2014,3,Germany,Other reason for journey,19.5,5.0,7.0,2440400,170828.00000000003,Summer
2014,4,Germany,Other reason for journey,25.4,7.0,11.0,1694900,186439.0,Autumn
2015,1,Germany,Other reason for journey,47.3,8.0,10.0,1531300,153130.0,Winter
2015,2,Germany,Other reason for journey,28.1,8.0,7.0,2344900,164143.00000000003,Spring
2015,3,Germany,Other reason for journey,13.2,6.0,5.0,2770900,138545.0,Summer
2015,4,Germany,Other reason for journey,33.3,17.0,9.0,1995900,179631.0,Autumn
2016,1,Germany,Other reason for journey,28.4,7.0,9.0,1784700,160623.0,Winter
2016,2,Germany,Other reason for journey,22.4,6.0,6.0,2598900,155934.0,Spring
2016,3,Germany,Other reason for journey,11.3,9.0,7.0,3061500,214305.00000000003,Summer
2016,4,Germany,Other reason for journey,20.0,6.0,6.0,2139200,128352.0,Autumn
2017,1,Germany,Other reason for journey,23.2,5.0,6.0,1796100,107766.0,Winter
2017,2,Germany,Other reason for journey,12.4,10.0,9.0,2769400,249246.0,Spring
2017,3,Germany,Other reason for journey,8.5,6.0,8.0,3095600,247648.0,Summer
2017,4,Germany,Other reason for journey,26.5,17.0,12.0,2270900,272508.0,Autumn
2018,1,Germany,Other reason for journey,17.3,7.0,8.0,1920700,153656.0,Winter
2018,2,Germany,Other reason for journey,10.1,11.0,8.0,2951900,236152.0,Spring
2018,3,Germany,Other reason for journey,4.3,5.0,5.0,3330900,166545.0,Summer
2018,4,Germany,Other reason for journey,10.5,11.0,12.0,2412800,289536.0,Autumn
2019,1,Germany,Other reason for journey,14.0,9.0,8.0,2026700,162136.0,Winter
2019,2,Germany,Other reason for journey,13.2,8.0,8.0,3021800,241744.0,Spring
2019,3,Germany,Other reason for journey,3.6,8.0,13.0,3334400,433472.0,Summer
2019,4,Germany,Other reason for journey,13.5,14.0,11.0,2424600,266706.0,Autumn
2012,1,Germany,Visit to friends/relatives,7.8,7.0,6.0,1165100,69906.0,Winter
